((	Baix_Llobregat	5617	PSC	Industria	4.40	0.00	0.00	1.12	0.41	0.98	0.02	0.04	0.32	0.75	0.61	0.78	p129	p128	p124	))
((	Baix_Llobregat	1882	PSC	Servicios	3.51	0.00	0.05	21.25	2.50	0.00	0.00	0.00	0.96	0.96	21.36	0.48	COLLBATO	m12	m12	))
((	Baix_Llobregat	8708	Otros	Servicios	2.51	0.00	0.01	1.81	0.05	2.03	0.08	0.09	0.71	2.17	0.57	0.26	p136	p128	p124	))
((	Baix_Llobregat	80329	PSC	Servicios	0.66	0.00	0.00	0.02	0.05	0.35	0.00	0.00	0.03	0.07	0.29	0.02	p129	p128	p124	))
((	Garraf	5918	Otros	Construccion	3.84	0.00	0.00	1.35	1.27	8.67	0.05	0.81	0.59	0.95	8.74	0.15	p140	p128	p126	))
((	Maresme	2675	PSC	Industria	1.79	0.00	0.00	2.43	0.15	0.07	0.11	0.15	0.90	0.90	0.45	0.15	m11	m12	m12	))
((	Baix_Llobregat	16280	PSC	Industria	3.21	0.00	0.00	0.30	0.61	1.15	0.01	0.15	0.25	0.23	0.99	0.43	p129	p128	p124	))
((	Baix_Llobregat	46304	PSC	Servicios	0.48	0.00	0.00	0.16	0.01	0.42	0.00	0.00	0.00	0.09	0.36	0.14	p129	p128	p124	))
((	V_Oriental	777	PSC	Industria	2.70	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.26	0.00	p133	p128	p124	))
((	V_Oriental	323	Otros	Servicios	1.86	0.00	0.00	1.24	0.00	0.00	0.00	0.00	0.00	0.93	0.31	0.00	p129	p128	p124	))
((	Alt_Penedes	1219	CiU	Industria	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.08	0.16	0.08	0.00	p133	p128	p124	))
((	V_Oriental	11706	CiU	Industria	2.95	0.00	0.74	0.16	0.28	1.20	0.00	0.00	0.16	0.44	0.64	0.41	p132	r152	z9	))
((	V_Occidental	160	CiU	Servicios	0.00	0.00	0.00	3.13	0.00	3.13	0.00	0.00	0.00	2.50	3.75	0.00	p136	p128	p123	))
((	V_Oriental	11274	CiU	Industria	1.12	0.00	0.00	0.22	0.07	0.88	0.00	0.00	0.04	0.27	0.82	0.04	p133	p128	p124	))
((	Baix_Llobregat	39214	PSC	Industria	0.56	1.36	0.00	0.21	0.03	1.31	0.01	0.00	0.04	0.52	0.77	0.21	p129	p128	p124	))
((	Alt_Penedes	4270	PSC	Industria	0.73	0.00	0.00	0.56	0.14	3.49	0.00	0.00	0.19	0.89	2.41	0.70	p133	p128	p124	))
((	Alt_Penedes	1333	CiU	Industria	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	p133	p128	p124	))
((	V_Oriental	66	CiU	Servicios	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.76	0.00	p133	p128	p124	))
