((	44077.1	39000	39809.3	395.5	271900))
((	38669.4	38102.6	39757.2	385.1	261890))
((	33363.8	32841.2	39712.7	437	248260))
((	44189.4	39000	39677.4	465.3	275820))
((	47874.5	39000	39901.3	427.5	278890))
((	44007.2	39000	39867.6	384.6	226370))
((	42655.4	39000	34988.3	383.6	230060))
((	45192.3	39000	41331.6	429	229610))
((	38320	37752	40038	415.6	199640))
((	36415.6	35866.6	40795.5	401.7	206780))
((	37869.4	37348.9	41170.4	404.2	191000))
((	41803.1	39000	38262.9	369.3	211020))
((	44183.4	39000	39076.7	446.9	190160))
((	42932.8	39000	39459	381.9	227410))
((	47578.5	39000	41421	441.7	223950))
((	41480.1	39000	40980.5	423	224570))
((	40607	39000	41931.3	397.7	212843))
((	36870.1	36292.1	29038.1	392.7	160550))
((	48168.2	39000	40671.3	352.6	218440))
((	50024.6	39000	42554.5	432.5	219080))
