(( 45177.9 39000 41666.2 389.4 286050 51.4 7.6 167 141 371 222 7.5 86 63 208 144 7.3 12.8 8.4 27 11 130 2134 1658 14.64 ))
(( 41934.4 39000 41572.7 384.6 276800 44.1 ? ? ? 308 ? ? ? ? 208 ? ? ? ? 27 ? 130 2221 1715 17.07 ))
(( 37110.9 36555 39968.9 407.1 248720 41.3 7.6 131 105 335 189 7.6 55 41 200 100 7.4 10 7.6 36 10 150 2142 1660 14.81 ))
(( 42753.1 39000 41086.7 412.7 280970 51.6 7.6 213 169 498 244 7.6 74 56 244 117 ? ? ? ? ? 140 2140 1664 13.86 ))
(( 43769.9 39000 41988 392.7 288780 52 7.7 195 156 421 203 7.6 88 68 296 137 7.3 16.4 15.2 45 21 140 2113 1654 13.55 ))
(( 46031.1 39000 43246.6 395.5 286760 54.1 ? ? ? 493 ? ? ? ? 340 ? ? ? ? 161 ? 150 2260 1767 13.68 ))
(( 39181 39000 40112.7 401.3 245920 46 7.6 167 133 430 104 7.6 68 49 233 57 7.4 16.4 14 44 11 160 2122 1654 12.51 ))
(( 46565.5 39000 42070.1 327.6 219640 48.6 7.6 120 83 270 138 7.6 75 53 260 100 7.4 11.6 10.8 134 11 140 1961 1515 15.23 ))
(( 42735.2 39000 42751.3 420 267210 43.1 ? ? ? 350 ? ? ? ? 242 ? ? ? ? 35 ? 160 2209 1698 15.11 ))
(( 37287 36745.2 39989.7 400.8 262470 41.9 7.7 96 79 287 124 7.6 54 38 152 77 7.4 12 9.6 80 10 160 2014 1534 14.45 ))
(( 44495.5 39000 42908 414.2 282370 50.3 7.7 176 139 426 155 7.6 71 56 168 100 ? ? ? ? ? 150 1952 1508 12.3 ))
(( 43575.2 39000 41006.5 391.4 295340 54.3 7.8 217 160 408 146 7.7 78 60 222 116 7.5 18.8 15.6 20 14 150 2053 1583 12.06 ))
(( 44495 39000 41332.1 492.1 284600 54.3 7.7 160 134 402 212 7.7 95 76 292 173 7.5 15.2 12.4 45 19 160 1925 1494 11.51 ))
(( 44659.1 39000 42897.7 566.2 306490 51.8 7.7 203 162 332 ? 7.7 80 61 233 128 7.4 17.2 13.6 30 11 180 1957 1527 9.76 ))
(( 48570.8 39000 45197.1 594.2 275180 52.7 7.7 251 187 503 245 7.7 78 57 228 130 7.4 12.8 12 100 16 200 2008 1570 10.19 ))
(( 42177.1 39000 42710.4 530.7 276310 52.9 ? ? ? 570 ? ? ? ? 235 ? ? ? ? 72 ? 210 1963 1532 12.07 ))
(( 39120.8 39000 42168.9 560.6 249320 51.2 7.8 253 193 416 250 7.8 62 46 172 79 7.5 14 10.8 63 14 230 1894 1498 11.05 ))
(( 48704.9 39000 45525.3 567.9 269500 53.7 7.7 292 230 548 ? 7.7 86 63 201 ? ? ? ? ? ? 230 1858 1452 10.68 ))
(( 46490 39000 43116 564 290670 54.2 7.5 183 142 789 190 7.5 69 50 244 84 7.5 12 9 36 10 200 1710 1335 9.34 ))
(( 48562.8 39000 44302.3 524.1 274890 55.8 7.6 284 224 525 ? 7.6 91 75 253 111 7.4 24 20.8 45 17 210 1702 1334 8.8 ))
(( 46800 39000 43135 564 276060 54 7.5 330 250 601 305 7.4 77 57 305 135 7.4 31.2 24.8 63 34 190 1680 1308 7.42 ))
(( 46950 39000 43599 564 299550 53.1 7.7 341 273 640 256 7.5 89 77 275 165 7.4 19.2 14.8 53 28 220 1730 1338 9.02 ))
(( 43390 39000 43664 534.4 289280 45.2 ? ? ? 586 ? ? ? ? 275 ? ? ? ? 44 ? 240 1775 1375 11 ))
(( 39246.7 39000 42213.5 557.6 312510 41.6 7.7 310 230 586 252 7.6 84 63 186 97 7.4 18.4 15.6 20 19 190 1290 1020 9.33 ))
(( 44018.5 39000 43986.2 1080 313080 52.8 7.5 290 214 530 253 7.5 94 75 256 128 ? ? ? ? ? 140 1302 1023 5.11 ))
(( 47340 39000 40994 802 269731 ? ? ? ? 627 ? ? ? ? 266 ? ? ? ? 66 ? 250 1466 1142 6.89 ))
(( 41177 39000 43351.5 532.5 305550 51.1 7.6 244 194 513 375 7.6 81 63 218 146 7.7 15 14 95 10 240 1516 1174 9.09 ))
(( 41111.1 39000 42448.9 527.8 331990 51.8 7.4 352 286 ? ? 7.4 73 59 ? ? 7.2 18 16 ? ? 280 1768 1336 10.72 ))
(( 44818.6 39000 44568.6 563.4 299520 57.9 7.7 360 278 646 320 7.6 100 75 269 124 7.3 20 17.6 36 12 280 1725 1342 10.03 ))
(( 43322.6 39000 44288.7 545.7 319850 46.7 ? ? ? 543 ? ? ? ? 389 ? ? ? ? 87 ? 380 2015 1554 13.11 ))
(( 37003.1 36500.2 42670.4 555.9 302740 45.8 7.3 265 213 534 234 7.4 106 81 307 164 7.1 14 20.4 63 22 440 2028 1574 11.66 ))
(( 40803.4 39000 43581.7 538.1 212630 57.5 7.7 194 153 643 204 7.7 141 116 353 217 7.6 8.7 6.5 39 13.7 310 2226 1739 14.41 ))
(( 43360 39000 42823 534.4 221750 55.3 7.5 196 157 358 374 7.5 117 87 332 ? 7.3 16.4 12 36 18 600 2344 1847 13.85 ))
(( 45910.6 39000 45516.4 570 281170 55.6 7.4 145 133 439 ? 7.3 102 72 329 156 7.2 11 6 18 ? 640 2370 2004 14.95 ))
(( 40979.1 39000 42795.2 531.7 367840 55.2 7.4 203 168 444 195 7.4 101 71 284 146 7.2 40.4 34 76 40 460 1669 1250 7.48 ))
(( 44088.8 39000 49527 534.4 322250 60.2 7.4 288 235 ? 262 7.3 94 73 ? 158 7.3 25.6 20.4 ? 28 340 1677 1293 9.35 ))
(( 40041.9 39000 43246.7 560.2 330750 46 ? ? ? 510 ? ? ? ? 211 ? ? ? ? 79 ? 400 1760 1377 10.2 ))
